years_since_lpi_installed,effect_percent,ci95_lower_percent,ci95_upper_percent
-5,-8.15801824520217,-19.668700883879907,5.002031654632799
-4,-15.320162613294174,-25.54225230466208,-3.69471167487484
-3,-7.1977043548519966,-18.575063564693096,5.769392695221898
-2,-5.395218654531709,-16.599011732659598,7.313652264342374
-1,0.0,0.0,0.0
0,-5.708973103593074,-17.399547176473927,7.636186597837602
1,-19.318298790771983,-30.23874319194656,-6.688365321083678
2,-23.513061057374674,-34.74323211223269,-10.350266827886346
3,-22.641426691904552,-34.13332555026244,-9.144511784474629
4,-17.666138290643374,-30.52210861488015,-2.4313396847375213
5,-35.69185507156405,-49.25496887977928,-18.503597045015752
