evt,pct,lo,hi,p
-6,-19.100863283481196,-45.72993240552283,20.594475215726902,0.2980422581914033
-5,-16.591773858429647,-43.015292029642346,22.08419479313999,0.35061649276917217
-4,-22.72745971445661,-47.633001362739826,14.023061041585215,0.1939808202539457
-3,-13.08618816675513,-41.019287488310354,28.075948317639153,0.47830457537168947
-2,-27.870590388094428,-50.66958027218404,5.465385449141769,0.09189641937010684
-1,0.0,0.0,0.0,
0,-16.849406540591538,-42.61135597480972,20.477165998502556,0.3294047241903195
1,-45.0268441831737,-65.46636101964678,-12.489736103966386,0.011653881702796909
2,-42.678900269224975,-63.82943055928874,-9.160720299656777,0.017836185001848914
3,-38.076370709545735,-61.498533016696136,-0.4054607538863886,0.04806906460781324
4,-47.91697689421627,-69.49618832099101,-11.072054719499548,0.01685273227528894
5,-65.9033244246301,-84.26868082338088,-26.09753370080179,0.006405315251127863
6,-66.6970755776907,-90.150089046261,12.598457010115304,0.0768796867070165
