test_group,specification,outcome,effect_percent,ci95_lower_percent,ci95_upper_percent,p_value,note
main,"Pedestrian KSI, unadjusted",ped_ksi,-25.76933617415135,-42.21466729698115,-4.643770412378567,0.0196934510261643,
main,+ red light camera control,ped_ksi,-26.66006013349372,-43.05992625718136,-5.536708576863569,0.0163468645866018,
main,+ cycling infrastructure control,ped_ksi,-25.73851538661137,-42.20525819020003,-4.580106696671116,0.0199894911980014,
main,+ both co-treatments,ped_ksi,-26.63049567761445,-43.05218661286224,-5.473382657948111,0.0166009442058139,
dose,1 approach treated,ped_ksi,-69.25665975749166,-93.05570264938504,36.10491048211435,0.120209080695703,
dose,2 approaches treated,ped_ksi,-33.92575964508969,-52.11493219627547,-8.827418677292076,0.0116499009238542,
dose,3-4 approaches treated,ped_ksi,-14.659293281681208,-37.2944635892143,16.14662181455131,0.3134091690294514,
dose,per additional treated approach,ped_ksi,-5.410117376916757,-12.661667247782017,2.443516067936935,0.1716993146490595,
mechanism,Turning driver hits ped with ROW,ped_turn_row,-36.82624015684439,-55.10675700188812,-11.101901618278054,0.0084086122509723,
mechanism,Straight driver hits ped with ROW,ped_straight_row,-24.9694337628202,-67.54697648557062,73.46876377693373,0.5016948278115119,
falsification,Ped crossing WITHOUT right-of-way,ped_no_row,4.844745709316456,-36.88366275595634,74.16125812795951,0.85502094629092,
falsification,Ped on sidewalk or midblock,ped_offpath,-30.41000313388551,-73.30624513775724,81.41950013468222,0.4583283704723278,
severity,Fatal pedestrian collisions,ped_fatal,1.9648363710084384,-48.00157559491013,99.9450555495837,0.9548377227444202,
severity,Non-fatal pedestrian KSI,ped_nonfatal,-29.48286123550914,-46.13482452175116,-7.68308437910018,0.0110321362214143,
subgroup,"Pedestrian, age 65+",ped_older,-42.40503387704286,-61.04319246694352,-14.849795638674587,0.0056772830817146,
subgroup,"Pedestrian, school child",ped_child,-5.82870309380874,-54.53851872793698,95.07136399542992,0.8715969428871115,
subgroup,Cyclist KSI,cyc_ksi,-29.999251970160568,-58.914220857444576,19.2652257545163,0.1895386351836436,
placebo,Vehicle-occupant KSI,veh_only,2.104257145410049,-24.65152528538046,38.36085424026832,0.8931506280415435,
robust,"Stacked DiD, not-yet-treated controls",ped_ksi,-23.588334523610687,-45.44701252802184,7.028833643157872,0.1176098432270671,
robust,Empirical Bayes before-after,ped_ksi,-11.19891686182546,-26.519019918569995,4.12118619491908,,1120 sites
equity,Effect outside NIAs,ped_ksi,-22.97089775639679,-41.19312453835256,0.8977699610169809,0.0580789937618833,
equity,Extra effect inside NIAs,ped_ksi,-18.470018682208668,-50.10244255454399,33.215696198065814,0.4149944881656906,
robust,Snap radius 20 m,ped_ksi,-24.137020029180512,-41.05642793782195,-2.3609949532417907,0.0319065816409709,
robust,Snap radius 30 m,ped_ksi,-25.76933617415135,-42.21466729698115,-4.643770412378567,0.0196934510261643,
robust,Snap radius 50 m,ped_ksi,-27.208838897630304,-43.285148129195285,-6.575562487562603,0.0126241867520746,
robust,Snap radius 100 m,ped_ksi,-27.30198920859398,-43.18013106165781,-6.986748266484389,0.0112104916221651,
